user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user3,workstation6,workstation6,(v35.0),(licserver/7788,9923),start,Tue,4/14,7:49
user4,workstation7,workstation7,(v35.0),(licserver/7788,13286),start,Tue,4/14,3:40
user4,workstation7,workstation7,(v35.0),(licserver/7788,13286),start,Tue,4/14,3:40
user4,workstation7,workstation7,(v35.0),(licserver/7788,13286),start,Tue,4/14,3:40
user4,workstation7,workstation7,(v35.0),(licserver/7788,13286),start,Tue,4/14,3:40
user4,workstation7,workstation7,(v35.0),(licserver/7788,13286),start,Tue,4/14,3:40
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12410),start,Tue,4/14,1:30
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
user5,workstation8,workstation8,(v35.0),(licserver/7788,12411),start,Tue,4/14,3:10
